sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
M,15,R,GT3,T,3,2,other,other,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6,5,9
F,15,R,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6
F,18,U,GT3,T,4,4,health,health,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,1,1,4,15,9,8
F,19,U,GT3,T,0,1,at_home,other,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8
M,17,U,GT3,T,2,3,other,services,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,2,11,11
M,16,U,LE3,T,2,1,at_home,other,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13
M,15,U,GT3,A,2,2,other,other,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16
F,18,R,LE3,T,4,4,other,other,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,19,18
M,19,U,GT3,T,3,3,other,other,other,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,3,20,15,14
M,17,U,GT3,T,3,3,other,other,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,4,5,6
